"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"42101","0","10","70","0","2017","1","","Philadelphia County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34858,662110,664714,666485,11018500230,3082591795,168928880,1276,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",193,0.6,14427,2.2,12943,2.0,12143,1.9,813466093,8.0,189553479,6.6,-6465686,-3.7,71,5.9
"42101","0","10","70","0","2017","2","","Philadelphia County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34635,671879,674007,670981,10237309641,854751458,45395449,1171,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",222,0.6,8756,1.3,10502,1.6,9476,1.4,328684718,3.3,2752025,0.3,-5629387,-11.0,21,1.8
"42101","0","10","70","0","2017","3","","Philadelphia County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34434,667715,669694,677067,10582406743,555919488,29149036,1212,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-173,-0.5,5527,0.8,9754,1.5,6030,0.9,-10052339,-0.1,1568256,0.3,-3082460,-9.6,-14,-1.1
"42101","0","10","70","0","2017","4","","Philadelphia County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34475,682505,684284,685133,11459330563,485060472,25710741,1289,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-147,-0.4,8984,1.3,8657,1.3,8597,1.3,622302069,5.7,35137011,7.8,-263371,-1.0,54,4.4
"42101","1","10","71","0","2017","1","","Philadelphia County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",148,29962,29911,29869,614482800,0,0,1580,"",0.69,2.28,2.28,2.28,2.05,0.00,0.00,0.90,"",-4,-2.6,412,1.4,402,1.4,235,0.8,21156196,3.6,0,0.0,0,0.0,36,2.3
"42101","1","10","71","0","2017","2","","Philadelphia County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",148,29821,29840,29831,621996664,0,0,1604,"",0.70,2.28,2.28,2.29,2.09,0.00,0.00,0.91,"",-4,-2.6,166,0.6,147,0.5,31,0.1,67026944,12.1,0,0.0,0,0.0,167,11.6
"42101","1","10","71","0","2017","3","","Philadelphia County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",148,29987,29843,29742,612964562,0,0,1579,"",0.71,2.28,2.28,2.26,1.96,0.00,0.00,0.86,"",-3,-2.0,73,0.2,39,0.1,-142,-0.5,-35462757,-5.5,0,0.0,0,0.0,-91,-5.4
"42101","1","10","71","0","2017","4","","Philadelphia County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",148,29326,29289,29684,636684843,0,0,1664,"",0.72,2.23,2.24,2.25,2.02,0.00,0.00,0.90,"",-3,-2.0,-311,-1.0,-348,-1.2,-641,-2.1,16116285,2.6,0,0.0,0,0.0,66,4.1
"42101","1","101","72","0","2017","1","","Philadelphia County, Pennsylvania","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,439,433,432,8936054,0,0,1581,"",2.36,1.88,1.86,1.87,1.70,0.00,0.00,0.91,"",0,0.0,-17,-3.7,-22,-4.8,-19,-4.2,-138037,-1.5,0,0.0,0,0.0,44,2.9
"42101","1","101","72","0","2017","2","","Philadelphia County, Pennsylvania","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,428,429,428,7234729,0,0,1299,"",2.42,1.83,1.83,1.82,1.27,0.00,0.00,0.70,"",0,0.0,-22,-4.9,-23,-5.1,-14,-3.2,-292451,-3.9,0,0.0,0,0.0,7,0.5
