"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"42101","0","10","70","0","2019","1","","Philadelphia County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34497,688398,689828,692147,12323024887,3365273432,163828939,1374,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,0.0,14725,2.2,13061,1.9,14918,2.2,706005301,6.1,143410444,4.5,219883,0.1,52,3.9
"42101","0","10","70","0","2019","2","","Philadelphia County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34617,699820,701146,697647,11389523170,933250892,44278177,1252,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",35,0.1,14448,2.1,13819,2.0,9649,1.4,703357914,6.6,23890860,2.6,-589145,-1.3,55,4.6
"42101","0","10","70","0","2019","3","","Philadelphia County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34832,692455,696330,704080,11715889000,612932119,28802077,1292,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",586,1.7,9508,1.4,11169,1.6,10693,1.5,717564185,6.5,12131113,2.0,-342744,-1.2,61,5.0
"42101","0","10","70","0","2019","4","","Philadelphia County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34957,708963,712851,712999,12948680997,540353104,25389414,1400,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",660,1.9,7915,1.1,9926,1.4,11994,1.7,969656523,8.1,13969371,2.7,-478383,-1.8,87,6.6
"42101","1","10","71","0","2019","1","","Philadelphia County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",142,29685,29649,29537,593301272,0,0,1541,"",0.70,2.25,2.24,2.24,1.95,0.00,0.00,0.87,"",-6,-4.1,33,0.1,144,0.5,13,0.0,-25941227,-4.2,0,0.0,0,0.0,-70,-4.3
"42101","1","10","71","0","2019","2","","Philadelphia County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",141,29755,29689,29766,659800710,0,0,1707,"",0.70,2.24,2.24,2.25,2.05,0.00,0.00,0.91,"",-5,-3.4,168,0.6,61,0.2,-72,-0.2,20829471,3.3,0,0.0,0,0.0,51,3.1
"42101","1","10","71","0","2019","3","","Philadelphia County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",141,29890,29958,29980,645947063,0,0,1659,"",0.68,2.24,2.23,2.22,1.96,0.00,0.00,0.88,"",-4,-2.8,203,0.7,208,0.7,268,0.9,14423674,2.3,0,0.0,0,0.0,24,1.5
"42101","1","10","71","0","2019","4","","Philadelphia County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",139,30071,30524,30616,707379472,0,0,1790,"",0.67,2.24,2.26,2.26,1.98,0.00,0.00,0.88,"",-5,-3.5,285,1.0,376,1.2,533,1.8,15749473,2.3,0,0.0,0,0.0,17,1.0
"42101","1","101","72","0","2019","1","","Philadelphia County, Pennsylvania","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,427,419,422,8013765,0,0,1458,"",2.31,1.73,1.69,1.69,1.44,0.00,0.00,0.84,"",0,0.0,16,3.9,22,5.5,22,5.5,-631321,-7.3,0,0.0,0,0.0,-194,-11.7
"42101","1","101","72","0","2019","2","","Philadelphia County, Pennsylvania","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,421,421,421,7787936,0,0,1423,"",2.30,1.68,1.66,1.66,1.23,0.00,0.00,0.74,"",0,0.0,25,6.3,21,5.2,18,4.5,830360,11.9,0,0.0,0,0.0,84,6.3
