"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"42101","0","10","70","0","2023","1","","Philadelphia County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34478,689540,692219,696014,14397130944,3711969716,130896820,1599,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-318,-0.9,23699,3.6,21005,3.1,19237,2.8,1230273831,9.3,260455705,7.5,14795443,12.7,90,6.0
"42101","0","10","70","0","2023","2","","Philadelphia County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34129,699163,700987,701198,13471694152,848730791,31365136,1479,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-638,-1.8,17235,2.5,16808,2.5,17516,2.6,709718886,5.6,-89375772,-9.5,-1508248,-4.6,42,2.9
"42101","0","10","70","0","2023","3","","Philadelphia County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34093,697947,696264,709184,13799284358,583906327,21791755,1514,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-741,-2.1,15364,2.3,13682,2.0,16409,2.4,201499198,1.5,-79844208,-12.0,-1645564,-7.0,-11,-0.7
"42101","0","10","70","0","2023","4","","Philadelphia County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",33734,711067,712583,712320,14926059744,520060719,19461404,1613,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1213,-3.5,15124,2.2,13036,1.9,13712,2.0,839197789,6.0,-35553768,-6.4,-304673,-1.5,61,3.9
"42101","1","10","71","0","2023","1","","Philadelphia County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",131,30372,30305,30092,742671147,0,0,1888,"",0.74,2.31,2.29,2.27,2.12,0.00,0.00,0.93,"",-5,-3.7,-184,-0.6,-199,-0.7,-334,-1.1,89391394,13.7,0,0.0,0,0.0,240,14.6
"42101","1","10","71","0","2023","2","","Philadelphia County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",148,30207,30204,30289,720882679,0,0,1834,"",0.84,2.27,2.26,2.27,2.04,0.00,0.00,0.90,"",12,8.8,-185,-0.6,-30,-0.1,231,0.8,-34967821,-4.6,0,0.0,0,0.0,-89,-4.6
"42101","1","10","71","0","2023","3","","Philadelphia County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",150,30424,30578,30690,772500006,0,0,1944,"",0.85,2.26,2.28,2.25,2.03,0.00,0.00,0.90,"",18,13.6,282,0.9,583,1.9,318,1.0,40749003,5.6,0,0.0,0,0.0,78,4.2
"42101","1","10","71","0","2023","4","","Philadelphia County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",148,30762,30900,30661,750004400,0,0,1875,"",0.85,2.26,2.26,2.24,1.97,0.00,0.00,0.87,"",17,13.0,376,1.2,147,0.5,33,0.1,36128690,5.1,0,0.0,0,0.0,80,4.5
"42101","1","101","72","0","2023","1","","Philadelphia County, Pennsylvania","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,432,432,433,9567816,0,0,1702,"",2.35,1.85,1.84,1.84,1.52,0.00,0.00,0.82,"",0,0.0,-6,-1.4,-4,-0.9,-3,-0.7,726851,8.2,0,0.0,0,0.0,145,9.3
"42101","1","101","72","0","2023","2","","Philadelphia County, Pennsylvania","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,439,440,435,11060626,0,0,1943,"",2.32,1.85,1.84,1.82,1.81,0.00,0.00,0.99,"",0,0.0,1,0.2,6,1.4,3,0.7,543697,5.2,0,0.0,0,0.0,82,4.4
